property_id,date,price
property_1,2014-10-31,140300
property_1,2014-11-30,139000
property_1,2014-12-31,142900
property_1,2015-01-31,144100
property_1,2015-02-28,157500
property_1,2015-03-31,157500
property_1,2015-04-30,158000
property_1,2015-05-31,149600
property_1,2015-06-30,149900
property_1,2015-07-31,150400
property_1,2015-08-31,151200
property_1,2015-09-30,149800
property_1,2015-10-31,149200
property_1,2015-11-30,151700
property_1,2015-12-31,153300
property_1,2016-01-31,158100
property_1,2016-02-29,158400
property_1,2016-03-31,158900
property_1,2016-04-30,162000
property_1,2016-05-31,161900
property_1,2016-06-30,163800
property_1,2016-07-31,161300
property_1,2016-08-31,158700
property_1,2016-09-30,156800
property_1,2016-10-31,160600
property_1,2016-11-30,164300
property_1,2016-12-31,161800
property_1,2017-01-31,161900
property_1,2017-02-28,167500
property_1,2017-03-31,167300
property_1,2017-04-30,166800
property_1,2017-05-31,168300
property_1,2017-06-30,170300
property_1,2017-07-31,170800
property_1,2017-08-31,173600
property_1,2017-09-30,177200
property_1,2017-10-31,177300
property_1,2017-11-30,179800
property_1,2017-12-31,183700
property_1,2018-01-31,186600
property_1,2018-02-28,187200
property_1,2018-03-31,193400
property_1,2018-04-30,191600
property_1,2018-05-31,196000
property_1,2018-06-30,199000
property_1,2018-07-31,201800
property_1,2018-08-31,199700
property_1,2018-09-30,207800
property_1,2018-10-31,208200
property_1,2018-11-30,199700
property_1,2018-12-31,194400
property_1,2019-01-31,194000
property_1,2019-02-28,198900
property_1,2019-03-31,196900
property_1,2019-04-30,203600
property_1,2019-05-31,209300
property_1,2019-06-30,208700
property_1,2019-07-31,211500
property_1,2019-08-31,210100
property_1,2019-09-30,208900
property_1,2019-10-31,209700
property_1,2019-11-30,213000
property_1,2019-12-31,219300
property_1,2020-01-31,222300
property_1,2020-02-29,226600
property_1,2020-03-31,228000
property_1,2020-04-30,224200
property_1,2020-05-31,223700
property_1,2020-06-30,222900
property_1,2020-07-31,226100
property_1,2020-08-31,229300
property_1,2020-09-30,234600
property_1,2020-10-31,234000
property_1,2020-11-30,239200
property_1,2020-12-31,243900
property_1,2021-01-31,247900
property_1,2021-02-28,251000
property_1,2021-03-31,255800
property_1,2021-04-30,271100
property_1,2021-05-31,283600
property_1,2021-06-30,297300
property_1,2021-07-31,304900
property_1,2021-08-31,310300
property_1,2021-09-30,317000
property_1,2021-10-31,320100
property_1,2021-11-30,326100
property_1,2021-12-31,331900
property_1,2022-01-31,338600
property_1,2022-02-28,346600
property_1,2022-03-31,356300
property_1,2022-04-30,365700
property_1,2022-05-31,376100
property_1,2022-06-30,377100
property_1,2022-07-31,373600
property_1,2022-08-31,367900
property_1,2022-09-30,362100
property_1,2022-10-31,359900
property_1,2022-11-30,353300
property_1,2022-12-31,347500
property_1,2023-01-31,344600
property_1,2023-02-28,345400
property_1,2023-03-31,353200
property_1,2023-04-30,356100
property_1,2023-05-31,361400
property_1,2023-06-30,369200
property_1,2023-07-31,367300
property_1,2023-08-31,366600
property_1,2023-09-30,364500
property_1,2023-10-31,360700
property_1,2023-11-30,357500
property_1,2023-12-31,357100
property_1,2024-01-31,359400
property_1,2024-02-29,366600
property_1,2024-03-31,369700
property_1,2024-04-30,371200
property_1,2024-05-31,377800
property_1,2024-06-30,377300
property_1,2024-07-31,372000
property_1,2024-08-31,367500
property_1,2024-09-30,377000
property_2,2014-10-31,269900
property_2,2014-11-30,263300
property_2,2014-12-31,266100
property_2,2015-01-31,265800
property_2,2015-02-28,264900
property_2,2015-03-31,259400
property_2,2015-04-30,259600
property_2,2015-05-31,266700
property_2,2015-06-30,267600
property_2,2015-07-31,270900
property_2,2015-08-31,268800
property_2,2015-09-30,270800
property_2,2015-10-31,263500
property_2,2015-11-30,265500
property_2,2015-12-31,275700
property_2,2016-01-31,265500
property_2,2016-02-29,269300
property_2,2016-03-31,269900
property_2,2016-04-30,268500
property_2,2016-05-31,269600
property_2,2016-06-30,263300
property_2,2016-07-31,271900
property_2,2016-08-31,273300
property_2,2016-09-30,276300
property_2,2016-10-31,275500
property_2,2016-11-30,282900
property_2,2016-12-31,284800
property_2,2017-01-31,281900
property_2,2017-02-28,286100
property_2,2017-03-31,300000
property_2,2017-04-30,295400
property_2,2017-05-31,298100
property_2,2017-06-30,296200
property_2,2017-07-31,300000
property_2,2017-08-31,306400
property_2,2017-09-30,313300
property_2,2017-10-31,299800
property_2,2017-11-30,301500
property_2,2017-12-31,320300
property_2,2018-01-31,307700
property_2,2018-02-28,309700
property_2,2018-03-31,313900
property_2,2018-04-30,310900
property_2,2018-05-31,310500
property_2,2018-06-30,313300
property_2,2018-07-31,323900
property_2,2018-08-31,312800
property_2,2018-09-30,311200
property_2,2018-10-31,313000
property_2,2018-11-30,318600
property_2,2018-12-31,311900
property_2,2019-01-31,308100
property_2,2019-02-28,302300
property_2,2019-03-31,306200
property_2,2019-04-30,307700
property_2,2019-05-31,314000
property_2,2019-06-30,322900
property_2,2019-07-31,323700
property_2,2019-08-31,324400
property_2,2019-09-30,325300
property_2,2019-10-31,333100
property_2,2019-11-30,330800
property_2,2019-12-31,331400
property_2,2020-01-31,333900
property_2,2020-02-29,335300
property_2,2020-03-31,337300
property_2,2020-04-30,338100
property_2,2020-05-31,341000
property_2,2020-06-30,340200
property_2,2020-07-31,339000
property_2,2020-08-31,332700
property_2,2020-09-30,339800
property_2,2020-10-31,344100
property_2,2020-11-30,337300
property_2,2020-12-31,336600
property_2,2021-01-31,343200
property_2,2021-02-28,343700
property_2,2021-03-31,348200
property_2,2021-04-30,377700
property_2,2021-05-31,375100
property_2,2021-06-30,398200
property_2,2021-07-31,414200
property_2,2021-08-31,416800
property_2,2021-09-30,439400
property_2,2021-10-31,465000
property_2,2021-11-30,472900
property_2,2021-12-31,477100
property_2,2022-01-31,479000
property_2,2022-02-28,484000
property_2,2022-03-31,498300
property_2,2022-04-30,505700
property_2,2022-05-31,516200
property_2,2022-06-30,519500
property_2,2022-07-31,512100
property_2,2022-08-31,509600
property_2,2022-09-30,509500
property_2,2022-10-31,510000
property_2,2022-11-30,498500
property_2,2022-12-31,486700
property_2,2023-01-31,481100
property_2,2023-02-28,489500
property_2,2023-03-31,511900
property_2,2023-04-30,515900
property_2,2023-05-31,522200
property_2,2023-06-30,549500
property_2,2023-07-31,544600
property_2,2023-08-31,550700
property_2,2023-09-30,550000
property_2,2023-10-31,547300
property_2,2023-11-30,548200
property_2,2023-12-31,533900
property_2,2024-01-31,531100
property_2,2024-02-29,543200
property_2,2024-03-31,553400
property_2,2024-04-30,552600
property_2,2024-05-31,558100
property_2,2024-06-30,563500
property_2,2024-07-31,558400
property_3,2014-10-31,59000
property_3,2014-11-30,56700
property_3,2014-12-31,59700
property_3,2015-01-31,84500
property_3,2015-02-28,89700
property_3,2015-03-31,95700
property_3,2015-04-30,75100
property_3,2015-05-31,75400
property_3,2015-06-30,75800
property_3,2015-07-31,76100
property_3,2015-08-31,76200
property_3,2015-09-30,76400
property_3,2015-10-31,76300
property_3,2015-11-30,76100
property_3,2015-12-31,75300
property_3,2016-01-31,76300
property_3,2016-02-29,77500
property_3,2016-03-31,78100
property_3,2016-04-30,78400
property_3,2016-05-31,77800
property_3,2016-06-30,78100
property_3,2016-07-31,78600
property_3,2016-08-31,78900
property_3,2016-09-30,79900
property_3,2016-10-31,81800
property_3,2016-11-30,82700
property_3,2016-12-31,84500
property_3,2017-01-31,85000
property_3,2017-02-28,85200
property_3,2017-03-31,83700
property_3,2017-04-30,83900
property_3,2017-05-31,85000
property_3,2017-06-30,86300
property_3,2017-07-31,86300
property_3,2017-08-31,87400
property_3,2017-09-30,87800
property_3,2017-10-31,88500
property_3,2017-11-30,89100
property_3,2017-12-31,90000
property_3,2018-01-31,90500
property_3,2018-02-28,90200
property_3,2018-03-31,91600
property_3,2018-04-30,193200
property_3,2018-05-31,200400
property_3,2018-06-30,201100
property_3,2018-07-31,202500
property_3,2018-08-31,204600
property_3,2018-09-30,205800
property_3,2018-10-31,207900
property_3,2018-11-30,209600
property_3,2018-12-31,209800
property_3,2019-01-31,212300
property_3,2019-02-28,213700
property_3,2019-03-31,209100
property_3,2019-04-30,208500
property_3,2019-05-31,213600
property_3,2019-06-30,212100
property_3,2019-07-31,212900
property_3,2019-08-31,213700
property_3,2019-09-30,214600
property_3,2019-10-31,216100
property_3,2019-11-30,214300
property_3,2019-12-31,215600
property_3,2020-01-31,219000
property_3,2020-02-29,219700
property_3,2020-03-31,222400
property_3,2020-04-30,222400
