ds,y,property_id
2018-01-07,380401.6071011654,0
2018-01-14,386939.51800795656,0
2018-01-21,396464.2840849427,0
2018-01-28,393653.0890573156,0
2018-02-04,431216.3386287725,0
2018-02-11,428470.4722844487,0
2018-02-18,407103.565781249,0
2018-02-25,407708.74954809627,0
2018-03-04,402507.15720877866,0
2018-03-11,395884.8881036953,0
2018-03-18,411871.75185574254,0
2018-03-25,414686.61841776315,0
2018-04-01,451775.93846672424,0
2018-04-08,482307.49929106026,0
2018-04-15,523391.6568364399,0
2018-04-22,576013.5587645924,0
2018-04-29,626118.386670683,0
2018-05-06,685236.3265610567,0
2018-05-13,719477.9633031331,0
2018-05-20,759370.7418889119,0
2018-05-27,849271.715208868,0
2018-06-03,859988.9957173703,0
2018-06-10,862634.978646439,0
2018-06-17,870192.1685610528,0
2018-06-24,942724.4660384053,0
2018-07-01,927787.9713852094,0
2018-07-08,934693.8872762246,0
2018-07-15,928427.5538455815,0
2018-07-22,932804.096498538,0
2018-07-29,858696.029254473,0
2018-08-05,876352.5551831804,0
2018-08-12,863704.435540924,0
2018-08-19,907173.2101797999,0
2018-08-26,930781.1957909953,0
2018-09-02,929706.8585257779,0
2018-09-09,920708.225512585,0
2018-09-16,943935.0202836787,0
2018-09-23,946225.4866484557,0
2018-09-30,977964.3516173109,0
2018-10-07,1001283.907684784,0
2018-10-14,1006708.3251495237,0
2018-10-21,1001904.1887284507,0
2018-10-28,977969.869148507,0
2018-11-04,800395.4007679925,0
2018-11-11,750293.9432262379,0
2018-11-18,671302.9206019609,0
2018-11-25,626509.3088442922,0
2018-12-02,584608.0607679,0
2018-12-09,521792.8119288729,0
2018-12-16,494853.4990166083,0
2018-12-23,462701.7236074899,0
2018-12-30,434504.06163473486,0
2019-01-06,431295.85170669435,0
2019-01-13,437593.7459131527,0
2019-01-20,448068.93081064004,0
2019-01-27,489632.3531398871,0
2019-02-03,492610.64372322167,0
2019-02-10,482402.877552572,0
2019-02-17,481885.39745369117,0
2019-02-24,481233.65492358844,0
2019-03-03,471110.8518169243,0
2019-03-10,473791.19796332554,0
2019-03-17,467415.7840525418,0
2019-03-24,477354.46678906266,0
2019-03-31,466911.02056566346,0
2019-04-07,516260.59325770516,0
2019-04-14,562875.0856411976,0
2019-04-21,536814.5325379221,0
2019-04-28,570189.1389384212,0
2019-05-05,606558.3462501662,0
2019-05-12,636418.7665229092,0
2019-05-19,679848.667602109,0
2019-05-26,723353.0360934492,0
2019-06-02,719315.8678152213,0
2019-06-09,723552.1432106374,0
2019-06-16,729609.3146406728,0
2019-06-23,712093.5778740745,0
2019-06-30,727694.4049891304,0
2019-07-07,746248.9899366107,0
2019-07-14,736994.2098942918,0
2019-07-21,731970.2880597803,0
2019-07-28,704854.4347078758,0
2019-08-04,702569.6405972724,0
2019-08-11,702881.5072458985,0
2019-08-18,706193.0082489649,0
2019-08-25,697964.4687489624,0
2019-09-01,660836.2076545319,0
2019-09-08,662409.6771417104,0
2019-09-15,693424.167266795,0
2019-09-22,701960.3851175116,0
2019-09-29,707143.0721120754,0
2019-10-06,707935.9651800451,0
2019-10-13,712665.9509679873,0
2019-10-20,718161.9465961098,0
2019-10-27,735022.5723825432,0
2019-11-03,700777.3842349194,0
2019-11-10,639077.9202412771,0
2019-11-17,601906.8503892986,0
2019-11-24,557823.1523982537,0
2019-12-01,537919.6089441177,0
2019-12-08,505803.2805893574,0
2019-12-15,480472.39108299086,0
2019-12-22,431741.22445820965,0
2019-12-29,404917.19713878125,0
2020-01-05,405926.51048457006,0
2020-01-12,407781.8670268353,0
2020-01-19,441279.7153005848,0
2020-01-26,445381.26396428526,0
2020-02-02,436046.04260884307,0
2020-02-09,430992.73934221716,0
2020-02-16,437452.3067486555,0
2020-02-23,449974.0316501708,0
2020-03-01,456320.1763014868,0
2020-03-08,457176.0395579394,0
2020-03-15,457796.32896941097,0
2020-03-22,508966.73228034726,0
2020-03-29,502492.2637493319,0
2020-04-05,487398.2447780858,0
2020-04-12,543685.1642292202,0
2020-04-19,599287.6152697181,0
2020-04-26,643476.4395623789,0
2020-05-03,691621.6014913543,0
2020-05-10,732564.3381998681,0
2020-05-17,765665.157849157,0
2020-05-24,826768.1112260738,0
2020-05-31,892224.0494095136,0
2020-06-07,912938.4928656919,0
2020-06-14,900948.2997830526,0
2020-06-21,886143.5935110565,0
2020-06-28,882499.438904023,0
2020-07-05,896348.8495228785,0
2020-07-12,897188.0818376027,0
2020-07-19,912555.6824425957,0
2020-07-26,917554.5704977002,0
2020-08-02,921421.3184147535,0
2020-08-09,933174.8652873423,0
2020-08-16,915282.8840587843,0
2020-08-23,923021.0127843482,0
2020-08-30,919274.6109631786,0
2020-09-06,907393.1750397445,0
2020-09-13,906394.4391698895,0
2020-09-20,893101.4339165691,0
2020-09-27,921134.1062929059,0
2020-10-04,912998.5642342361,0
2020-10-11,915952.7075426088,0
2020-10-18,913702.9863962473,0
2020-10-25,923384.0085065535,0
2020-11-01,879269.1280634373,0
2020-11-08,784359.6244175698,0
2020-11-15,725212.1157734896,0
2020-11-22,673754.3897621263,0
2020-11-29,607903.1984190805,0
2020-12-06,574052.6766944249,0
2020-12-13,548049.6772721766,0
2020-12-20,507985.98070022004,0
2020-12-27,467210.41032846295,0
2021-01-03,472919.6971308795,0
2021-01-10,438158.1222241089,0
2021-01-17,434435.1881823973,0
2021-01-24,448915.4768660119,0
2021-01-31,450455.4212466169,0
2021-02-07,445912.2270831878,0
2021-02-14,460106.0215837762,0
2021-02-21,465776.2648704153,0
2021-02-28,405796.38693197805,0
2021-03-07,410083.0909618174,0
2021-03-14,413541.4300893608,0
2021-03-21,421525.80472891335,0
2021-03-28,409761.33412219986,0
2021-04-04,446586.33111352794,0
2021-04-11,469967.41207809525,0
2021-04-18,498764.4435304705,0
2021-04-25,557320.7921331305,0
2021-05-02,593208.9684859272,0
2021-05-09,645780.3817072363,0
2021-05-16,697786.9334338527,0
